abbrev,state,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,DC,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,total_imm,total_emm
AL,Alabama,N/A,17,5,24,17,2,6,4,1,20,10,22,10,17,18,2,6,14,12,10,24,10,5,12,12,22,18,21,22,11,10,2,12,13,21,0,1,17,5,16,2,24,17,118,21,18,1,17,11,10,4,714,713
AK,Alaska,7,N/A,10000,1,16,8,14,13,16,10,24,4,21,12,19,19,9,10,24,5,6,15,22,21,21,1,23,22,21,11,17,12,25,22,9,5,25,17,22,22,19,18,25,20,13,19,5,22,22,24,25,10,10000
AZ,Arizona,0,9,N/A,18,0,7,5,22,24,10,13,7,21,10,1,2,8,12,21,16,6,19,10,23,3,0,19,18,0,14,3,12,19,11,4,15,16,11,21,7,25,11,21,0,1,10,23,24,10,25,20,607,975
AR,Arkansas,20,6,21,N/A,6,12,10,2,12,16,3,6,22,11,14,24,13,19,20,20,0,10,8,3,17,6,3,8,11,24,1,4,15,4,1,12,20,6,6,21,0,17,4,5,19,6,1,0,4,23,14,530,862
CA,California,0,14,13,9,N/A,2,17,23,15,20,18,15,14,5,18,14,0,20,12,25,0,0,21,5,5,22,8,4,9,10,8,0,18,14,8,22,16,14,10,24,11,24,7,6,7,13,2,3,4,25,17,591,633
CO,Colorado,6,1,18,7,13,N/A,1,13,9,13,6,19,18,20,15,10,18,19,8,4,7,15,15,25,1,19,5,22,19,14,18,8,5,3,22,24,12,16,5,14,13,24,3,25,19,21,0,11,3,1,13,620,768
CT,Connecticut,18,24,21,17,9,17,N/A,2,10,21,8,4,3,6,15,1,24,18,8,25,4,6,15,5,0,13,19,8,25,5,16,16,1,0,8,23,8,4,14,7,18,19,6,15,16,6,9,14,3,9,2,565,805
DE,Delaware,1,2,19,15,6,4,18,N/A,16,19,0,21,24,11,1,19,13,20,19,20,6,19,2,8,19,2,25,21,13,8,20,22,18,13,8,20,3,5,23,15,12,24,7,18,23,17,20,23,1,12,11,686,619
DC,DC,13,1,6,21,1,6,17,16,N/A,3,7,20,22,10,11,23,2,0,6,21,6,25,14,10,6,12,19,14,17,9,4,6,0,22,0,13,2,20,23,10,0,23,2,1,25,5,17,24,3,16,7,561,625
FL,Florida,10,7,14,5,14,15,25,8,16,N/A,18,13,0,23,24,25,1,12,6,24,21,19,8,10,18,3,15,22,3,4,3,16,13,1,23,0,21,3,14,0,18,13,17,21,22,25,9,10,7,12,19,650,1011
GA,Georgia,9,5,5,13,2,5,22,4,14,23,N/A,13,7,16,24,16,14,24,0,10,3,25,21,21,20,10,16,25,23,3,2,12,11,8,21,16,7,10,1,1,1,2,20,6,17,13,24,20,5,19,20,629,849
HI,Hawaii,9,18,14,17,17,16,0,4,10,10,24,N/A,5,14,3,11,19,11,1,8,16,19,12,22,20,5,0,9,16,6,21,15,1,0,6,15,24,21,23,8,15,22,25,9,23,18,23,4,2,11,4,626,654
ID,Idaho,1,7,25,19,15,1,0,12,17,0,4,3,N/A,7,24,14,12,11,24,12,20,3,1,22,15,21,18,16,9,6,2,20,5,20,4,15,18,8,8,24,5,18,21,20,12,21,20,12,2,6,20,620,737
IL,Illinois,2,25,1,10,9,2,13,25,15,3,15,11,21,N/A,6,24,5,19,18,1,25,2,12,23,23,23,9,7,3,7,4,12,7,17,23,6,9,16,25,9,10,20,7,10,5,20,6,9,22,9,14,619,1055
IN,Indiana,14,0,8,16,8,11,10,14,5,23,16,17,15,23,N/A,5,14,12,2,23,3,2,3,21,24,8,17,7,17,11,19,16,10,3,1,3,17,17,25,8,25,9,9,4,21,4,18,11,21,8,2,600,1047
IA,Iowa,8,3,0,0,7,20,14,4,9,12,17,22,24,10,5,N/A,19,15,9,4,18,16,13,19,1,20,0,9,20,8,8,25,20,9,1,16,0,14,14,11,19,19,23,15,15,24,15,0,19,20,7,620,919
KS,Kansas,1,1,9,2,9,3,0,4,15,18,14,19,10,0,25,0,N/A,10,20,22,18,2,23,14,9,5,22,2,22,4,19,8,0,21,4,0,9,17,19,3,24,10,18,14,1,10,3,19,2,9,5,518,809
KY,Kentucky,3,25,2,5,6,22,20,0,0,2,2,23,18,18,10,7,16,N/A,17,25,2,4,9,7,18,14,12,14,21,9,24,0,24,15,3,1,7,14,23,21,12,6,6,3,9,16,14,17,17,19,15,597,1055
LA,Louisiana,2,22,22,21,0,18,1,25,22,13,20,8,8,4,7,24,16,17,N/A,18,19,18,5,5,3,23,5,16,12,2,8,3,7,13,19,1,2,13,0,10,16,24,11,13,24,20,19,3,19,2,13,616,944
ME,Maine,3,5,9,16,16,6,17,3,18,20,19,17,3,9,16,5,19,20,10,N/A,6,17,17,15,3,6,1,15,0,4,20,4,9,8,19,25,23,13,11,14,0,25,13,13,4,0,8,1,8,18,25,576,814
MD,Maryland,7,19,4,3,15,23,5,13,9,7,21,11,8,0,16,7,17,13,18,9,N/A,4,25,17,10,7,25,20,15,3,12,23,5,17,7,14,25,7,7,9,8,21,19,19,17,16,2,22,14,21,9,645,623
MA,Massachusetts,2,12,1,15,17,7,16,2,8,17,9,24,1,17,21,13,11,14,8,24,21,N/A,19,8,7,10,1,16,9,9,2,21,9,15,22,22,19,11,16,8,2,17,12,13,5,2,25,15,12,5,1,593,747
MI,Michigan,10,20,10,5,7,5,24,11,13,11,21,8,17,18,20,12,16,5,9,18,14,5,N/A,11,15,6,17,7,6,19,17,4,7,13,15,25,12,21,9,10,23,5,17,7,8,12,21,11,4,2,0,603,584
MN,Minnesota,9,15,8,2,1,13,14,22,20,7,0,14,12,23,16,19,1,10,23,17,12,25,7,N/A,7,2,1,21,21,22,20,21,1,23,12,5,22,18,10,1,23,6,24,19,21,6,9,11,0,7,1,624,811
MS,Mississippi,22,4,20,22,16,6,7,2,19,8,11,4,20,15,18,13,20,17,14,23,3,10,12,24,N/A,15,16,16,15,24,21,20,20,11,17,6,10,12,11,14,23,21,10,23,21,2,0,11,8,0,19,696,710
MO,Missouri,16,21,6,5,24,17,2,21,11,25,14,15,20,2,18,6,9,12,15,24,20,18,14,8,5,N/A,12,7,12,22,2,9,24,18,4,23,23,21,15,13,15,23,17,6,22,23,18,2,14,7,24,724,641
MT,Montana,13,25,8,12,16,22,0,11,3,2,25,14,20,21,16,13,10,22,23,11,12,19,3,20,24,3,N/A,11,1,4,25,10,15,13,9,10,17,6,19,16,1,11,13,18,2,9,14,12,13,6,9,632,706
NE,Nebraska,10,5,6,7,7,9,0,19,8,10,6,11,7,15,24,11,10,24,21,8,10,6,2,22,3,23,25,N/A,4,12,18,16,5,10,23,16,20,8,20,4,18,23,9,24,14,7,7,25,13,21,17,643,865
NV,Nevada,8,0,1,0,5,7,13,8,7,2,14,6,22,21,10,8,25,24,12,21,9,18,15,21,20,16,18,24,N/A,16,4,2,22,25,18,19,15,24,24,24,7,8,5,4,15,2,14,22,22,3,23,673,1109
NH,New Hampshire,0,16,13,23,6,10,0,14,15,25,11,5,22,4,0,24,7,12,22,5,3,8,14,13,11,13,5,25,4,N/A,23,0,16,23,20,22,21,25,22,0,1,2,24,23,18,9,17,25,22,12,1,656,619
NJ,New Jersey,7,7,5,10,17,21,1,0,15,23,14,12,16,8,5,6,13,5,20,1,17,21,4,3,23,19,20,7,23,20,N/A,23,21,19,9,14,4,23,19,20,23,21,16,24,21,21,17,3,23,23,7,714,778
NM,New Mexico,24,1,8,6,7,8,4,4,7,25,6,15,5,19,17,11,6,25,18,17,10,14,3,3,16,7,11,13,25,6,24,N/A,10,19,18,19,2,23,16,8,17,11,24,14,24,21,10,13,1,20,6,641,581
NY,New York,1,6,22,19,22,10,6,18,4,1,13,25,21,5,4,11,7,11,3,18,6,17,10,15,14,2,8,21,7,13,3,14,N/A,25,19,24,10,15,17,21,4,1,6,19,13,3,8,11,21,1,14,589,822
NC,North Carolina,14,16,2,10,15,25,11,17,1,8,7,16,10,3,12,4,16,7,16,20,4,0,6,12,12,6,13,6,9,17,22,12,11,N/A,12,15,0,2,14,3,24,16,19,7,13,19,16,2,14,15,21,572,921
ND,North Dakota,12,24,23,14,4,4,16,8,1,4,22,7,15,17,8,5,9,16,17,5,20,5,2,0,7,11,11,24,7,5,13,10,22,11,N/A,1,22,14,11,7,9,15,3,22,16,6,24,16,20,14,1,580,884
OH,Ohio,16,9,17,13,23,10,20,25,18,22,25,3,13,3,8,21,12,10,1,7,24,17,21,3,22,25,9,15,24,22,11,25,20,22,15,N/A,4,23,14,9,23,0,6,1,13,5,24,0,16,16,11,716,671
OK,Oklahoma,8,25,12,1,15,6,20,0,13,21,11,13,7,5,5,17,10,1,19,23,25,3,17,6,5,0,4,17,5,13,3,4,2,0,16,23,N/A,10,5,0,18,9,12,17,20,10,23,12,7,11,24,553,801
